ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;RapidTime;RapidLength;RapidStarts
4117;2025-07-20 06:19:08;2025-07-20 09:45:00;False;12345;4420;37;2700;128253.3359375;185;1288;257773;337
4233;2025-07-20 11:55:38;2025-07-20 12:19:29;False;1430;31;5;359;18501.400390625;4;273;57742;43
4270;2025-07-20 15:43:10;2025-07-20 15:54:58;False;707;11;5;469;23992.3203125;9;125;34066;11
4268;2025-07-20 16:23:45;2025-07-20 16:37:43;False;835;52;12;472;24150.498046875;10;150;43261;15
4263;2025-06-23 00:56:41;2025-06-23 01:52:47;False;3360;2405;4;284;18179.6640625;30;133;22206;58
4269;2025-06-23 02:01:22;2025-06-23 02:17:20;False;955;49;3;351;22073.658203125;20;88;13411;50
4518;2025-06-23 02:20:32;2025-06-23 02:52:38;False;1921;2;1;1482;88061.3203125;30;72;12325;36
3925;2025-06-23 05:34:13;2025-06-23 09:26:41;False;13945;5196;14;2319;139666.71875;304;1580;232367;658
4386;2025-06-23 12:36:53;2025-06-23 12:51:48;False;892;7;1;517;34321.5234375;9;205;67437;15
4387;2025-06-23 15:40:49;2025-06-23 15:53:02;False;728;6;1;375;24841.326171875;11;174;53756;15
3484;2025-06-23 17:03:26;2025-06-23 17:48:52;False;2722;149;3;1371;49195.7890625;33;357;49952;115
4243;2025-07-21 08:57:34;2025-07-21 09:09:45;False;729;60;12;352;23585.1171875;10;144;43711;14
4139;2025-06-23 19:56:40;2025-06-24 02:02:29;False;21944;2686;15;5624;340245.78125;525;3285;390495;1645
4335;2025-06-24 09:16:05;2025-06-24 13:10:07;False;14039;3726;14;4748;173597.546875;180;1679;324090;511
3911;2025-06-24 17:40:12;2025-06-24 17:55:14;False;896;45;7;493;33061.375;12;165;52448;18
3922;2025-06-24 19:01:03;2025-06-24 19:15:31;False;862;8;2;484;32480.400390625;11;167;52562;18
3921;2025-06-25 08:53:17;2025-06-25 09:07:34;False;853;11;2;475;31885.14453125;11;170;54708;17
4134;2025-06-25 10:06:52;2025-06-25 11:05:39;False;3522;31;3;1425;70737.3359375;24;726;175802;125
4520;2025-06-26 12:03:09;2025-06-26 13:22:07;False;4737;33;3;2398;109939.515625;59;372;45562;241
4516;2025-06-26 16:32:28;2025-06-26 17:15:47;False;2596;2;1;2124;50255.34765625;33;55;8207;38
4519;2025-06-26 17:46:22;2025-06-26 18:06:32;False;1208;68;8;630;31998.951171875;13;181;41062;37
4138;2025-06-26 18:19:53;2025-06-26 18:23:56;False;242;7;1;22;1334.42639160156;1;44;6742;14
4137;2025-06-26 21:43:42;2025-06-26 22:17:41;False;2038;321;21;304;20109.396484375;21;329;63332;70
4261;2025-06-27 12:33:15;2025-06-27 12:38:28;False;312;3;1;95;6229.044921875;9;28;5207;15
4324;2025-06-28 11:32:14;2025-06-28 12:07:38;False;2118;134;6;1167;47517.65234375;34;309;78601;59
3335;2025-06-29 00:38:26;2025-06-29 00:59:49;False;1276;26;3;469;28763.537109375;28;190;21168;85
4531;2025-06-29 01:05:55;2025-06-29 01:37:09;False;1868;1;2;1352;60286.5390625;45;43;4452;46
4530;2025-06-29 01:45:00;2025-06-29 02:16:36;False;1892;1;2;1265;56850.46484375;55;55;4406;56
4526;2025-06-29 08:03:07;2025-06-29 10:18:15;False;8107;2962;4;3421;130891.328125;146;291;55458;152
4528;2025-06-29 10:33:11;2025-06-29 11:55:54;False;4962;358;3;1564;72395.1875;108;742;86594;346
4533;2025-06-29 15:39:02;2025-06-29 16:02:08;False;1384;14;3;423;20820.515625;9;286;62742;75
